Date,Open,High,Low,Close,Adj Close,Volume
"Sep 17, 2025",238.97,240.1,237.73,238.99,238.99,"46,435,200"
"Sep 16, 2025",237.18,241.22,236.32,238.15,238.15,"63,421,100"
"Sep 15, 2025",237,238.19,235.03,236.7,236.7,"42,699,500"
"Sep 12, 2025",229.22,234.51,229.02,234.07,234.07,"55,824,200"
"Sep 11, 2025",226.88,230.45,226.65,230.03,230.03,"50,208,600"
"Sep 10, 2025",232.19,232.42,225.95,226.79,226.79,"83,440,800"
"Sep 9, 2025",237,238.78,233.36,234.35,234.35,"66,313,900"
"Sep 8, 2025",239.3,240.15,236.34,237.88,237.88,"48,999,500"
"Sep 5, 2025",240,241.32,238.49,239.69,239.69,"54,870,400"
"Sep 4, 2025",238.45,239.9,236.74,239.78,239.78,"47,549,400"
"Sep 3, 2025",237.21,238.85,234.36,238.47,238.47,"66,427,800"
"Sep 2, 2025",229.25,230.85,226.97,229.72,229.72,"44,075,600"
"Aug 29, 2025",232.51,233.38,231.37,232.14,232.14,"39,418,400"
"Aug 28, 2025",230.82,233.41,229.34,232.56,232.56,"38,074,700"
"Aug 27, 2025",228.61,230.9,228.26,230.49,230.49,"31,259,500"
"Aug 26, 2025",226.87,229.49,224.69,229.31,229.31,"54,575,100"
"Aug 25, 2025",226.48,229.3,226.23,227.16,227.16,"30,983,100"
"Aug 22, 2025",226.17,229.09,225.41,227.76,227.76,"42,477,800"
"Aug 21, 2025",226.27,226.52,223.78,224.9,224.9,"30,621,200"
"Aug 20, 2025",229.98,230.47,225.77,226.01,226.01,"42,263,900"
"Aug 19, 2025",231.28,232.87,229.35,230.56,230.56,"39,402,600"
"Aug 18, 2025",231.7,233.12,230.11,230.89,230.89,"37,476,200"
"Aug 15, 2025",234,234.28,229.34,231.59,231.59,"56,038,700"
"Aug 14, 2025",234.06,235.12,230.85,232.78,232.78,"51,916,300"
"Aug 13, 2025",231.07,235,230.43,233.33,233.33,"69,878,500"
"Aug 12, 2025",228.01,230.8,227.07,229.65,229.65,"55,626,200"
"Aug 11, 2025",0.26 Dividend,,,,,
"Aug 11, 2025",227.92,229.56,224.76,227.18,227.18,"61,806,100"
"Aug 8, 2025",220.83,231,219.25,229.35,229.09,"113,854,000"
"Aug 7, 2025",218.88,220.85,216.58,220.03,219.78,"90,224,800"
"Aug 6, 2025",205.63,215.38,205.59,213.25,213.01,"108,483,100"
"Aug 5, 2025",203.4,205.34,202.16,202.92,202.69,"44,155,100"
"Aug 4, 2025",204.51,207.88,201.68,203.35,203.12,"75,109,300"
"Aug 1, 2025",210.87,213.58,201.5,202.38,202.15,"104,434,500"
"Jul 31, 2025",208.49,209.84,207.16,207.57,207.33,"80,698,400"
"Jul 30, 2025",211.9,212.39,207.72,209.05,208.81,"45,512,500"
"Jul 29, 2025",214.18,214.81,210.82,211.27,211.03,"51,411,700"
"Jul 28, 2025",214.03,214.85,213.06,214.05,213.81,"37,858,000"
"Jul 25, 2025",214.7,215.24,213.4,213.88,213.64,"40,268,800"
"Jul 24, 2025",213.9,215.69,213.53,213.76,213.52,"46,022,600"
"Jul 23, 2025",215,215.15,212.41,214.15,213.91,"46,989,300"
"Jul 22, 2025",213.14,214.95,212.23,214.4,214.16,"46,404,100"
"Jul 21, 2025",212.1,215.78,211.63,212.48,212.24,"51,377,400"
"Jul 18, 2025",210.87,211.79,209.7,211.18,210.94,"48,974,600"
"Jul 17, 2025",210.57,211.8,209.59,210.02,209.78,"48,068,100"
"Jul 16, 2025",210.3,212.4,208.64,210.16,209.92,"47,490,500"
"Jul 15, 2025",209.22,211.89,208.92,209.11,208.87,"42,296,300"
"Jul 14, 2025",209.93,210.91,207.54,208.62,208.38,"38,840,100"
"Jul 11, 2025",210.57,212.13,209.86,211.16,210.92,"39,765,800"
"Jul 10, 2025",210.51,213.48,210.03,212.41,212.17,"44,443,600"
"Jul 9, 2025",209.53,211.33,207.22,211.14,210.9,"48,749,400"
"Jul 8, 2025",210.1,211.43,208.45,210.01,209.77,"42,848,900"
"Jul 7, 2025",212.68,216.23,208.8,209.95,209.71,"50,229,000"
"Jul 3, 2025",212.15,214.65,211.81,213.55,213.31,"34,955,800"
"Jul 2, 2025",208.91,213.34,208.14,212.44,212.2,"67,941,800"
"Jul 1, 2025",206.67,210.19,206.14,207.82,207.58,"78,788,900"
"Jun 30, 2025",202.01,207.39,199.26,205.17,204.94,"91,912,800"
"Jun 27, 2025",201.89,203.22,200,201.08,200.85,"73,188,600"
"Jun 26, 2025",201.43,202.64,199.46,201,200.77,"50,799,100"
"Jun 25, 2025",201.45,203.67,200.62,201.56,201.33,"39,525,700"
"Jun 24, 2025",202.59,203.44,200.2,200.3,200.07,"54,064,000"
"Jun 23, 2025",201.63,202.3,198.96,201.5,201.27,"55,814,300"
"Jun 20, 2025",198.24,201.7,196.86,201,200.77,"96,813,500"
