Date,Open,High,Low,Close,Adj Close,Volume
"Sep 17, 2025",119.48,121.84,114.57,120.86,120.86,"24,235,200"
"Sep 16, 2025",121.47,125.76,115.12,118.75,118.75,"29,506,800"
"Sep 15, 2025",120.85,121.88,116.11,120.47,120.47,"37,532,700"
"Sep 12, 2025",113.93,115.31,104.07,111.96,111.96,"32,550,400"
"Sep 11, 2025",117.9,118.64,112.13,112.69,112.69,"25,179,300"
"Sep 10, 2025",110.03,124.9,109.01,117.14,117.14,"70,127,000"
"Sep 9, 2025",99.89,103.89,97.05,100.22,100.22,"40,286,700"
"Sep 8, 2025",88.92,96.17,88.64,93.55,93.55,"24,705,200"
"Sep 5, 2025",90.02,90.44,84.4,89.09,89.09,"18,448,500"
"Sep 4, 2025",88.48,89.72,85.21,87.48,87.48,"17,805,100"
"Sep 3, 2025",93.75,93.79,88.76,89.88,89.88,"18,944,000"
"Sep 2, 2025",96.63,97.13,90.7,93.34,93.34,"33,402,500"
"Aug 29, 2025",100.9,103.08,96.32,103.04,103.04,"24,208,300"
"Aug 28, 2025",100.64,105.5,99.9,102.79,102.79,"45,313,200"
"Aug 27, 2025",93.95,97.5,92.65,96.93,96.93,"32,747,400"
"Aug 26, 2025",91.82,94.77,90.32,91.39,91.39,"16,042,700"
"Aug 25, 2025",94,94,90,92.38,92.38,"14,803,400"
"Aug 22, 2025",91.09,98.6,88.58,93.99,93.99,"34,000,400"
"Aug 21, 2025",94.01,95.84,90.65,90.79,90.79,"27,261,800"
"Aug 20, 2025",90.15,91.65,85.26,91.52,91.52,"32,919,800"
"Aug 19, 2025",96.44,96.5,88.65,92.89,92.89,"32,158,900"
"Aug 18, 2025",102.21,103.91,96.7,96.8,96.8,"33,761,100"
"Aug 15, 2025",95.9,102,94.7,99.97,99.97,"52,661,100"
"Aug 14, 2025",115.26,116.88,98.81,99.5,99.5,"51,195,200"
"Aug 13, 2025",132.98,134.5,117.6,117.76,117.76,"37,157,600"
"Aug 12, 2025",135.82,148.8,130.43,148.75,148.75,"28,270,300"
"Aug 11, 2025",134.8,141.5,130.18,139.78,139.78,"19,430,300"
"Aug 8, 2025",128.05,130.98,121.7,129.55,129.55,"17,159,700"
"Aug 7, 2025",115.48,122.2,115.02,121.08,121.08,"17,715,900"
"Aug 6, 2025",110.5,112,105.56,110.24,110.24,"7,794,300"
"Aug 5, 2025",105.22,114.25,104.5,111.84,111.84,"11,902,800"
"Aug 4, 2025",106.68,107.58,101.6,106.01,106.01,"9,034,900"
"Aug 1, 2025",104.9,109.3,103.11,104.14,104.14,"13,055,000"
"Jul 31, 2025",112.63,119.59,111.5,114.13,114.13,"24,987,800"
"Jul 30, 2025",108.75,109.5,100.8,102.89,102.89,"11,052,000"
"Jul 29, 2025",108.84,113.44,106.3,108.74,108.74,"10,513,300"
"Jul 28, 2025",115,116.8,109.6,110.28,110.28,"9,628,100"
"Jul 25, 2025",119.93,119.93,114.23,115.62,115.62,"10,297,500"
"Jul 24, 2025",125.75,126.32,120,120,120,"7,629,900"
"Jul 23, 2025",132,132.12,125.38,126.05,126.05,"6,691,200"
"Jul 22, 2025",125.93,132.4,122.7,129.77,129.77,"9,407,300"
"Jul 21, 2025",126.53,134.3,124.11,124.91,124.91,"11,231,200"
"Jul 18, 2025",132.52,132.52,122.19,123.02,123.02,"12,863,600"
"Jul 17, 2025",141.37,141.37,131.34,132.21,132.21,"12,204,700"
"Jul 16, 2025",143.15,146.99,139.02,143.04,143.04,"10,835,400"
"Jul 15, 2025",144.24,146.75,140.05,140.59,140.59,"17,316,200"
"Jul 14, 2025",130.38,135.67,129.99,132.38,132.38,"11,432,900"
"Jul 11, 2025",132.93,136.36,125.67,125.84,125.84,"15,721,900"
"Jul 10, 2025",152.8,153.5,136.01,138.29,138.29,"16,519,500"
"Jul 9, 2025",155.2,156.47,149.7,153.05,153.05,"9,572,200"
"Jul 8, 2025",159.35,160.42,148.75,151.45,151.45,"12,024,600"
"Jul 7, 2025",161.18,163.66,155.26,159.7,159.7,"12,665,700"
"Jul 3, 2025",155,166.22,153.55,165.2,165.2,"10,442,400"
