Date,Open,High,Low,Close,Adj Close,Volume
"Sep 17, 2025",415.75,428.31,409.67,425.86,425.86,"105,060,600"
"Sep 16, 2025",414.5,423.25,411.43,421.62,421.62,"104,285,700"
"Sep 15, 2025",423.13,425.7,402.43,410.04,410.04,"163,823,700"
"Sep 12, 2025",370.94,396.69,370.24,395.94,395.94,"168,156,400"
"Sep 11, 2025",350.17,368.99,347.6,368.81,368.81,"103,756,000"
"Sep 10, 2025",350.55,356.33,346.07,347.79,347.79,"72,121,700"
"Sep 9, 2025",348.44,350.77,343.82,346.97,346.97,"53,816,000"
"Sep 8, 2025",354.64,358.44,344.84,346.4,346.4,"75,208,300"
"Sep 5, 2025",348,355.87,344.68,350.84,350.84,"108,989,800"
"Sep 4, 2025",336.15,338.89,331.48,338.53,338.53,"60,711,000"
"Sep 3, 2025",335.2,343.33,328.51,334.09,334.09,"88,733,300"
"Sep 2, 2025",328.23,333.33,325.6,329.36,329.36,"58,392,000"
"Aug 29, 2025",347.23,348.75,331.7,333.87,333.87,"81,145,700"
"Aug 28, 2025",350.91,353.55,340.26,345.98,345.98,"67,903,200"
"Aug 27, 2025",351.94,355.39,349.16,349.6,349.6,"65,519,000"
"Aug 26, 2025",344.93,351.9,343.72,351.67,351.67,"76,651,600"
"Aug 25, 2025",338.9,349.53,335.03,346.6,346.6,"86,670,000"
"Aug 22, 2025",321.66,340.25,319.69,340.01,340.01,"94,016,300"
"Aug 21, 2025",322.08,324.9,318.68,320.11,320.11,"55,744,400"
"Aug 20, 2025",329.22,331.37,314.6,323.9,323.9,"77,481,800"
"Aug 19, 2025",335.79,340.55,327.85,329.31,329.31,"75,956,000"
"Aug 18, 2025",329.62,336.27,329.59,335.16,335.16,"56,956,600"
"Aug 15, 2025",337.66,339.3,327.02,330.56,330.56,"74,319,800"
"Aug 14, 2025",335.76,340.47,330.4,335.58,335.58,"75,000,700"
"Aug 13, 2025",341.5,348.98,338.2,339.38,339.38,"67,838,900"
"Aug 12, 2025",345,345.26,332.94,340.84,340.84,"80,522,100"
"Aug 11, 2025",335,346.64,334.15,339.03,339.03,"105,320,200"
"Aug 8, 2025",321.43,335.15,320.98,329.65,329.65,"91,200,300"
"Aug 7, 2025",319.79,322.4,316.16,322.27,322.27,"66,658,700"
"Aug 6, 2025",307.89,320.47,306.93,319.91,319.91,"78,523,600"
"Aug 5, 2025",308.95,312.45,305.5,308.72,308.72,"57,961,300"
"Aug 4, 2025",309.08,312.12,303,309.26,309.26,"78,683,900"
"Aug 1, 2025",306.21,309.31,297.82,302.63,302.63,"89,121,400"
"Jul 31, 2025",319.61,321.37,306.1,308.27,308.27,"85,270,900"
"Jul 30, 2025",322.18,324.45,311.62,319.04,319.04,"83,931,900"
"Jul 29, 2025",325.55,326.25,318.25,321.2,321.2,"87,358,900"
"Jul 28, 2025",318.45,330.49,315.69,325.59,325.59,"112,673,800"
"Jul 25, 2025",308.74,323.63,308.01,316.06,316.06,"148,227,000"
"Jul 24, 2025",310,310.15,300.41,305.3,305.3,"156,966,000"
"Jul 23, 2025",330.9,336.2,328.67,332.56,332.56,"92,553,800"
"Jul 22, 2025",329.74,335.41,321.55,332.11,332.11,"77,370,400"
"Jul 21, 2025",334.4,338,326.88,328.49,328.49,"75,768,800"
"Jul 18, 2025",321.66,330.9,321.42,329.65,329.65,"94,255,000"
"Jul 17, 2025",323.15,324.34,317.06,319.41,319.41,"73,922,900"
"Jul 16, 2025",312.8,323.5,312.62,321.67,321.67,"97,284,800"
"Jul 15, 2025",319.68,321.2,310.5,310.78,310.78,"77,556,300"
"Jul 14, 2025",317.73,322.6,312.67,316.9,316.9,"78,043,400"
"Jul 11, 2025",307.89,314.09,305.65,313.51,313.51,"79,236,400"
"Jul 10, 2025",300.05,310.48,300,309.87,309.87,"104,365,300"
"Jul 9, 2025",297.55,300.15,293.55,295.88,295.88,"75,586,800"
"Jul 8, 2025",297,304.05,294.35,297.81,297.81,"103,246,700"
"Jul 7, 2025",291.37,296.15,288.77,293.94,293.94,"131,177,900"
"Jul 3, 2025",317.99,318.45,312.76,315.35,315.35,"58,042,300"
"Jul 2, 2025",312.63,316.83,303.82,315.65,315.65,"119,483,700"
"Jul 1, 2025",298.46,305.89,293.21,300.71,300.71,"145,085,700"
"Jun 30, 2025",319.9,325.58,316.6,317.66,317.66,"76,695,100"
"Jun 27, 2025",324.51,329.34,317.5,323.63,323.63,"89,067,000"
"Jun 26, 2025",324.61,331.05,323.61,325.78,325.78,"80,440,900"
"Jun 25, 2025",342.7,343,320.4,327.55,327.55,"119,845,100"
"Jun 24, 2025",356.17,356.26,340.44,340.47,340.47,"114,736,200"
"Jun 23, 2025",327.54,357.54,327.48,348.68,348.68,"190,716,800"
"Jun 20, 2025",327.95,332.36,317.78,322.16,322.16,"108,688,000"
"Jun 18, 2025",317.31,329.32,315.45,322.05,322.05,"95,137,700"
"Jun 17, 2025",326.09,327.26,314.74,316.35,316.35,"88,282,700"
"Jun 16, 2025",331.29,332.05,326.41,329.13,329.13,"83,925,900"
"Jun 13, 2025",313.97,332.99,313.3,325.31,325.31,"128,964,300"
"Jun 12, 2025",323.08,332.56,316.86,319.11,319.11,"105,127,500"
"Jun 11, 2025",334.4,335.5,322.5,326.43,326.43,"122,611,400"
"Jun 10, 2025",314.94,327.83,310.67,326.09,326.09,"151,256,500"
"Jun 9, 2025",285.96,309.83,281.85,308.58,308.58,"140,908,900"
"Jun 6, 2025",298.83,305.5,291.14,295.14,295.14,"164,747,700"
"Jun 5, 2025",322.49,324.55,273.21,284.7,284.7,"287,499,800"
"Jun 4, 2025",345.1,345.6,327.33,332.05,332.05,"98,912,100"
